row_index,job_id,title,extracted_salary,currency,n_ranges_found,source,status
21238,JR11807,Senior Administrative Assistant,70408.0,USD,1,hourly_annualized,filled
21241,JR108719,Tax Specialist II,,,0,,malformed_skipped
21276,JR11453,"Buyer, Staff",61550.0,USD,1,range,filled
21338,JR101525,HR Manager,117500.0,USD,1,range,filled
21362,JR108891,Aerospace Software Embedded Engineering Director,,,0,,malformed_skipped
21505,JR11102,Senior Electro- Mechanical Assembler,58198.4,USD,1,hourly_annualized,filled
21579,JR108876,Senior/Staff Mechanical Engineer - Technology Development (Fuel Systems),,,0,,malformed_skipped
21649,JR12013,Nuclear Sales Manager - Valves,,,0,,malformed_skipped
21865,1536032,"Experienced A&P Mechanic -2nd Shift - Tampa, FL",,,0,,malformed_skipped
22026,JR101278,Inside Sales Manager,128000.0,USD,1,range,filled
22089,1538391,"Experienced A&P Mechanic (Various Shifts) - Orlando, FL",,,0,,malformed_skipped
22463,JR101679,Senior Design Engineer – Piezoelectric Transducer Systems (Industrial),131300.0,USD,1,range,filled
22501,JR11810,Admin Assistant,47590.4,USD,1,hourly_annualized,filled
22672,JR101417,Applications Engineer,80000.0,USD,1,range,filled
22766,JR11520,Assembler,50648.0,USD,1,hourly_annualized,filled
22768,JR11518,Assembler,50648.0,USD,1,hourly_annualized,filled
23297,5162,"Software Engineer, Integrated Vehicle Simulator",,,0,,malformed_skipped
23554,JR101172,Regional Sales Manager (East Coast),100000.0,USD,1,range,filled
23724,JR101366,Electrical Engineer,90000.0,USD,1,range,filled
